ticker,date,daily_return,return_30d,return_90d,return_180d,return_1y,volatility_30d,volatility_90d,sma50_ratio,sma200_ratio,drawdown,target_30d,target_90d,target_252d,future_date_30d,future_date_90d
TRENT.NS,2019-12-30,-0.0019250160418005,0.08978080272245,0.226126126126126,0.4960153888430887,0.5565403859899929,0.2183306674397276,0.3083525813022679,0.0502029414942049,0.2330655915470227,-0.0081982146110402,0.2780124908155768,-0.1719324026451137,0.2630418809698751,2020-02-10,2020-05-13
TRENT.NS,2019-12-31,-0.0316862601028655,0.033424818663007,0.1280761823239888,0.4749580302182428,0.4931312845206059,0.233295174306448,0.3017820497513502,0.0158833550455959,0.1914219428212391,-0.0396247039533612,0.2841695911979514,-0.1460684814568909,0.2798065066869013,2020-02-11,2020-05-14
TRENT.NS,2020-01-01,0.0047424831641846,0.0464289242319471,0.1228535085859656,0.5195811217902739,0.5189274447949526,0.2319382181093041,0.3015369180918292,0.0203118438238047,0.1945849541838948,-0.0350701402805611,0.331634097989238,-0.1666194656848862,0.2810346455206269,2020-02-12,2020-05-15
TRENT.NS,2020-01-02,0.0220900594732371,0.0895642548052733,0.1380071473617827,0.534438775510204,0.5538174512055112,0.2312806177557401,0.3032883856277216,0.0420055165564063,0.2182004343080887,-0.0137547822918563,0.3566084788029924,-0.2343216033989101,0.2468827930174564,2020-02-13,2020-05-18
TRENT.NS,2020-01-03,-0.0100674240325113,0.0871285120194744,0.1374296933036187,0.5587550901687026,0.5346506300114546,0.2322690953812906,0.3033420071573601,0.0311301640687984,0.2031955742878968,-0.0236837310985607,0.4150027990296696,-0.2472476208247808,0.2626422840082105,2020-02-14,2020-05-19
TRENT.NS,2020-01-06,-0.0111028176898674,0.0531597774244834,0.1279131637756732,0.5305415162454874,0.5025517436915228,0.229284432666173,0.3040028989975539,0.0199760956635377,0.1872384468559855,-0.0345235926398249,0.4148504575903384,-0.2009623549391452,0.2745542032267194,2020-02-17,2020-05-20
TRENT.NS,2020-01-07,0.0056609114067365,0.0529487306134546,0.1224726200505477,0.5349942396313365,0.5341105354058724,0.2292543580031015,0.3037027788880404,0.0261865793780686,0.1913850088244533,-0.0290581162324648,0.3648559902429871,-0.1522656909653814,0.3048128342245988,2020-02-18,2020-05-21
TRENT.NS,2020-01-08,-0.0018763486255746,0.0512845849802372,0.1203664700926707,0.505234861346916,0.5394298943712923,0.2294268758881701,0.3037446094374664,0.0248195319679347,0.186865827490017,-0.0308799417015848,0.4571858257355012,-0.1682488955728922,0.304163925180938,2020-02-19,2020-05-22
TRENT.NS,2020-01-09,0.0291380768869253,0.0837375037117689,0.1596060156746452,0.5493137116173765,0.5842859209955145,0.2424197277260263,0.3070024912721066,0.0542522502397562,0.2190071143076633,-0.0026416469302239,0.4175723810393641,-0.1605626084573934,0.2505251621152615,2020-02-20,2020-05-26
TRENT.NS,2020-01-10,0.0056626175906473,0.0686141304347824,0.1585648148148146,0.5633962799943206,0.5233812949640289,0.2371486287806853,0.3069667311724465,0.0596996539206287,0.2235375692483261,0.0,0.4457360820997187,-0.1507583325765142,0.2228680410498593,2020-02-24,2020-05-27
